level,levelNameEnglish,levelNameArabic,day,dayTheme,situationNo,sceneId,targetPhraseId,situationContext,friendlyLatin,darijaArabicSupport,englishMeaning,possibleMoroccanReply,cultureNoteEnglish,pronunciationParts,imagePromptSeed,videoActionSeed,sourceKeys,status,mediaRule
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,3,L02-D06-S03,L02-D06-P03,The host serves tea and the learner responds warmly.,l-atay bnin bzaf,الأتاي بنين بزاف,The tea is very good.,bsaha,Complimenting tea respects the host’s effort.,l-atay / bnin / bzaf,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 6: طلب الشاي والماء بأدب. Show a foreign learner politely handling this situation: The host serves tea and the learner responds warmly.. Visual focus: the phrase 'l-atay bnin bzaf' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب الشاي والماء بأدب'. Trigger: The host serves tea and the learner responds warmly.. Learner says 'l-atay bnin bzaf'. Moroccan host/staff replies 'bsaha'. End with clear action showing the problem/request resolved.,tea_culture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,4,L02-D06-S04,L02-D06-P04,The learner asks for less sugar without rejecting tea.,shwiya sokar aafak,شوية سكر عافاك,"A little sugar, please.",wakha,Better to adjust gently than refuse hospitality directly.,shwiya / sokar / aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 6: طلب الشاي والماء بأدب. Show a foreign learner politely handling this situation: The learner asks for less sugar without rejecting tea.. Visual focus: the phrase 'shwiya sokar aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب الشاي والماء بأدب'. Trigger: The learner asks for less sugar without rejecting tea.. Learner says 'shwiya sokar aafak'. Moroccan host/staff replies 'wakha'. End with clear action showing the problem/request resolved.,tea_culture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,5,L02-D06-S05,L02-D06-P05,The learner thanks the host in a warmer Moroccan way.,baraka allah fik,بارك الله فيك,God bless you / thank you.,amin,This formula feels more heartfelt than a basic thank you.,baraka / allah / fik,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 6: طلب الشاي والماء بأدب. Show a foreign learner politely handling this situation: The learner thanks the host in a warmer Moroccan way.. Visual focus: the phrase 'baraka allah fik' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب الشاي والماء بأدب'. Trigger: The learner thanks the host in a warmer Moroccan way.. Learner says 'baraka allah fik'. Moroccan host/staff replies 'amin'. End with clear action showing the problem/request resolved.,daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,1,L02-D07-S01,L02-D07-P01,Review of arrival and booking.,"salam, aandi reservation",سلام، عندي رزيرفاسيون,"Hello, I have a reservation.","mrehba, shno smitk?",Combines greeting with the core booking function.,salam / aandi reservation,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 7: مراجعة أسبوع 1: الضيافة الأساسية. Show a foreign learner politely handling this situation: Review of arrival and booking.. Visual focus: the phrase 'salam, aandi reservation' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'مراجعة أسبوع 1: الضيافة الأساسية'. Trigger: Review of arrival and booking.. Learner says 'salam, aandi reservation'. Moroccan host/staff replies 'mrehba, shno smitk?'. End with clear action showing the problem/request resolved.",daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,2,L02-D07-S02,L02-D07-P02,Review of Wi‑Fi need at the riad.,shno l-code dyal l-wifi?,شنو الكود ديال الويفي؟,What is the Wi‑Fi code?,ha l-code,A highly practical phrase worth early review.,shno l-code / dyal l-wifi,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 7: مراجعة أسبوع 1: الضيافة الأساسية. Show a foreign learner politely handling this situation: Review of Wi‑Fi need at the riad.. Visual focus: the phrase 'shno l-code dyal l-wifi?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مراجعة أسبوع 1: الضيافة الأساسية'. Trigger: Review of Wi‑Fi need at the riad.. Learner says 'shno l-code dyal l-wifi?'. Moroccan host/staff replies 'ha l-code'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,3,L02-D07-S03,L02-D07-P03,Review of breakfast timing.,imta l-ftor?,إيمتا الفطور؟,What time is breakfast?,m3a tmnya,A short useful question for riads.,imta / l-ftor,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 7: مراجعة أسبوع 1: الضيافة الأساسية. Show a foreign learner politely handling this situation: Review of breakfast timing.. Visual focus: the phrase 'imta l-ftor?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مراجعة أسبوع 1: الضيافة الأساسية'. Trigger: Review of breakfast timing.. Learner says 'imta l-ftor?'. Moroccan host/staff replies 'm3a tmnya'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,4,L02-D07-S04,L02-D07-P04,Review of room navigation.,fin l-bit dyali?,فين البيت ديالي؟,Where is my room?,m3aya aafak,This checks comprehension of place words and possession.,fin / l-bit / dyali,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 7: مراجعة أسبوع 1: الضيافة الأساسية. Show a foreign learner politely handling this situation: Review of room navigation.. Visual focus: the phrase 'fin l-bit dyali?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مراجعة أسبوع 1: الضيافة الأساسية'. Trigger: Review of room navigation.. Learner says 'fin l-bit dyali?'. Moroccan host/staff replies 'm3aya aafak'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,5,L02-D07-S05,L02-D07-P05,Review closure after welcome help.,shukran ala kolshi,شكرا على كلشي,Thank you for everything.,bla jmil,A polite closing phrase anchors the hospitality theme.,shukran / ala / kolshi,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 7: مراجعة أسبوع 1: الضيافة الأساسية. Show a foreign learner politely handling this situation: Review closure after welcome help.. Visual focus: the phrase 'shukran ala kolshi' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مراجعة أسبوع 1: الضيافة الأساسية'. Trigger: Review closure after welcome help.. Learner says 'shukran ala kolshi'. Moroccan host/staff replies 'bla jmil'. End with clear action showing the problem/request resolved.,daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,1,L02-D08-S01,L02-D08-P01,The learner is at a room/courtyard/host space and asks permission.,nqder ndkhol?,نقدر ندخل؟,Can I come in?,"iyeh, tfdal",Permission language is important in homes and guest spaces.,nqder / ndkhol,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 8: الاستئذان قبل الدخول أو الجلوس. Show a foreign learner politely handling this situation: The learner is at a room/courtyard/host space and asks permission.. Visual focus: the phrase 'nqder ndkhol?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الاستئذان قبل الدخول أو الجلوس'. Trigger: The learner is at a room/courtyard/host space and asks permission.. Learner says 'nqder ndkhol?'. Moroccan host/staff replies 'iyeh, tfdal'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,2,L02-D08-S02,L02-D08-P02,The learner wants to sit in the patio or salon.,nqder njles hna?,نقدر نجلس هنا؟,Can I sit here?,"iyeh, gls",Asking before sitting is culturally safe in private spaces.,nqder / njles / hna,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 8: الاستئذان قبل الدخول أو الجلوس. Show a foreign learner politely handling this situation: The learner wants to sit in the patio or salon.. Visual focus: the phrase 'nqder njles hna?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الاستئذان قبل الدخول أو الجلوس'. Trigger: The learner wants to sit in the patio or salon.. Learner says 'nqder njles hna?'. Moroccan host/staff replies 'iyeh, gls'. End with clear action showing the problem/request resolved.",food_etiquette,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,3,L02-D08-S03,L02-D08-P03,The learner wants fresh air in a shared room/salon.,nqder nhell l-shrjem?,نقدر نحل الشرجم؟,Can I open the window?,"iyeh / la, shwiya",Ask before changing shared space conditions.,nqder / nhell / l-shrjem,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 8: الاستئذان قبل الدخول أو الجلوس. Show a foreign learner politely handling this situation: The learner wants fresh air in a shared room/salon.. Visual focus: the phrase 'nqder nhell l-shrjem?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الاستئذان قبل الدخول أو الجلوس'. Trigger: The learner wants fresh air in a shared room/salon.. Learner says 'nqder nhell l-shrjem?'. Moroccan host/staff replies 'iyeh / la, shwiya'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,4,L02-D08-S04,L02-D08-P04,The learner passes through a narrow riad corridor.,"smehli, wach nqder ndouz?",سمحلي، واش نقدر ندوز؟,"Excuse me, can I pass?","iyeh, tfdal",Smehli softens movement in tight public/private spaces.,smehli / wach nqder ndouz,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 8: الاستئذان قبل الدخول أو الجلوس. Show a foreign learner politely handling this situation: The learner passes through a narrow riad corridor.. Visual focus: the phrase 'smehli, wach nqder ndouz?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الاستئذان قبل الدخول أو الجلوس'. Trigger: The learner passes through a narrow riad corridor.. Learner says 'smehli, wach nqder ndouz?'. Moroccan host/staff replies 'iyeh, tfdal'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,5,L02-D08-S05,L02-D08-P05,The host asks the learner to wait.,"la bas, ghadi ntsenna",لا باس، غادي نتسنى,"No problem, I will wait.",shukran,Patience is culturally valued in hospitality moments.,la bas / ghadi ntsenna,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 8: الاستئذان قبل الدخول أو الجلوس. Show a foreign learner politely handling this situation: The host asks the learner to wait.. Visual focus: the phrase 'la bas, ghadi ntsenna' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الاستئذان قبل الدخول أو الجلوس'. Trigger: The host asks the learner to wait.. Learner says 'la bas, ghadi ntsenna'. Moroccan host/staff replies 'shukran'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,1,L02-D09-S01,L02-D09-P01,The learner gets the attention of a staff member politely.,"salam, smhliya",سلام، سمحليا,"Hello, excuse me.",na3am?,Use smhliya/smehli before a request to avoid sounding abrupt.,salam / smhliya,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 9: التعامل مع عاملة/عامل الرياض. Show a foreign learner politely handling this situation: The learner gets the attention of a staff member politely.. Visual focus: the phrase 'salam, smhliya' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'التعامل مع عاملة/عامل الرياض'. Trigger: The learner gets the attention of a staff member politely.. Learner says 'salam, smhliya'. Moroccan host/staff replies 'na3am?'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,2,L02-D09-S02,L02-D09-P02,The learner is unsure and opens a small question.,nqder nsawl shwiya?,نقدر نسول شوية؟,Can I ask something?,"iyeh, tfdal",A soft opening is useful with workers or hosts.,nqder / nsawl / shwiya,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 9: التعامل مع عاملة/عامل الرياض. Show a foreign learner politely handling this situation: The learner is unsure and opens a small question.. Visual focus: the phrase 'nqder nsawl shwiya?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'التعامل مع عاملة/عامل الرياض'. Trigger: The learner is unsure and opens a small question.. Learner says 'nqder nsawl shwiya?'. Moroccan host/staff replies 'iyeh, tfdal'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,3,L02-D09-S03,L02-D09-P03,The learner needs a fresh towel.,bghit tbdel l-manshfa aafak,بغيت تبدل المنشفة عافاك,"I would like to change the towel, please.",wakha,Amenity requests should be polite and specific.,bghit tbdel / l-manshfa aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 9: التعامل مع عاملة/عامل الرياض. Show a foreign learner politely handling this situation: The learner needs a fresh towel.. Visual focus: the phrase 'bghit tbdel l-manshfa aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'التعامل مع عاملة/عامل الرياض'. Trigger: The learner needs a fresh towel.. Learner says 'bghit tbdel l-manshfa aafak'. Moroccan host/staff replies 'wakha'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,4,L02-D09-S04,L02-D09-P04,"The learner asks staff to clean later, not now.",wach tqdri tnqyi l-bit mn b3d?,واش تقدري تنقي البيت من بعد؟,Can you clean the room later?,"iyeh, mn b3d",This respects privacy and staff schedule.,wach tqdri / tnqyi l-bit / mn b3d,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 9: التعامل مع عاملة/عامل الرياض. Show a foreign learner politely handling this situation: The learner asks staff to clean later, not now.. Visual focus: the phrase 'wach tqdri tnqyi l-bit mn b3d?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'التعامل مع عاملة/عامل الرياض'. Trigger: The learner asks staff to clean later, not now.. Learner says 'wach tqdri tnqyi l-bit mn b3d?'. Moroccan host/staff replies 'iyeh, mn b3d'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,5,L02-D09-S05,L02-D09-P05,The worker helps and the learner gives warm thanks.,"shukran bzaf, lah ykhalik",شكرا بزاف، الله يخليك,"Thank you very much, may God protect you.",lah yhafdk,Allah ykhalik is a warm politeness formula.,shukran bzaf / lah ykhalik,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 9: التعامل مع عاملة/عامل الرياض. Show a foreign learner politely handling this situation: The worker helps and the learner gives warm thanks.. Visual focus: the phrase 'shukran bzaf, lah ykhalik' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'التعامل مع عاملة/عامل الرياض'. Trigger: The worker helps and the learner gives warm thanks.. Learner says 'shukran bzaf, lah ykhalik'. Moroccan host/staff replies 'lah yhafdk'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,1,L02-D10-S01,L02-D10-P01,The learner needs an extra towel.,bghit manshfa okhra,بغيت منشفة أخرى,I would like another towel.,wakha,Keep amenity requests short and clear.,bghit / manshfa / okhra,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 10: طلب منشفة أو صابون أو غطاء. Show a foreign learner politely handling this situation: The learner needs an extra towel.. Visual focus: the phrase 'bghit manshfa okhra' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب منشفة أو صابون أو غطاء'. Trigger: The learner needs an extra towel.. Learner says 'bghit manshfa okhra'. Moroccan host/staff replies 'wakha'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,2,L02-D10-S02,L02-D10-P02,The learner is missing soap in the room.,bghit sabon aafak,بغيت صابون عافاك,"I would like soap, please.",daba njibo,Basic room supplies are practical early hospitality content.,bghit / sabon / aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 10: طلب منشفة أو صابون أو غطاء. Show a foreign learner politely handling this situation: The learner is missing soap in the room.. Visual focus: the phrase 'bghit sabon aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب منشفة أو صابون أو غطاء'. Trigger: The learner is missing soap in the room.. Learner says 'bghit sabon aafak'. Moroccan host/staff replies 'daba njibo'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,3,L02-D10-S03,L02-D10-P03,The learner is cold and asks for a blanket.,bghit manta okhra,بغيت مانطة أخرى,I would like another blanket.,"iyeh, daba",Riad rooms can feel cool; blanket requests are realistic.,bghit / manta / okhra,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 10: طلب منشفة أو صابون أو غطاء. Show a foreign learner politely handling this situation: The learner is cold and asks for a blanket.. Visual focus: the phrase 'bghit manta okhra' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب منشفة أو صابون أو غطاء'. Trigger: The learner is cold and asks for a blanket.. Learner says 'bghit manta okhra'. Moroccan host/staff replies 'iyeh, daba'. End with clear action showing the problem/request resolved.",gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,4,L02-D10-S04,L02-D10-P04,The learner looks for towels in the room/bathroom.,fin l-manshaf?,فين المناشف؟,Where are the towels?,f l-hmam,A simple place question tied to a real object.,fin / l-manshaf,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 10: طلب منشفة أو صابون أو غطاء. Show a foreign learner politely handling this situation: The learner looks for towels in the room/bathroom.. Visual focus: the phrase 'fin l-manshaf?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب منشفة أو صابون أو غطاء'. Trigger: The learner looks for towels in the room/bathroom.. Learner says 'fin l-manshaf?'. Moroccan host/staff replies 'f l-hmam'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,5,L02-D10-S05,L02-D10-P05,The staff gives the blanket and learner closes positively.,"had l-manta mzyana, shukran",هاد المانطة مزيانة، شكرا,"This blanket is good, thank you.",bsaha,End service requests with thanks to maintain warmth.,had l-manta mzyana / shukran,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 10: طلب منشفة أو صابون أو غطاء. Show a foreign learner politely handling this situation: The staff gives the blanket and learner closes positively.. Visual focus: the phrase 'had l-manta mzyana, shukran' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب منشفة أو صابون أو غطاء'. Trigger: The staff gives the blanket and learner closes positively.. Learner says 'had l-manta mzyana, shukran'. Moroccan host/staff replies 'bsaha'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,11,مشكلة بسيطة في الغرفة,1,L02-D11-S01,L02-D11-P01,The learner notices a broken light.,l-daw ma khdamsh,الضو ما خدامش,The light is not working.,daba nshufu,Useful problem phrase for room issues.,l-daw / ma / khdamsh,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 11: مشكلة بسيطة في الغرفة. Show a foreign learner politely handling this situation: The learner notices a broken light.. Visual focus: the phrase 'l-daw ma khdamsh' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مشكلة بسيطة في الغرفة'. Trigger: The learner notices a broken light.. Learner says 'l-daw ma khdamsh'. Moroccan host/staff replies 'daba nshufu'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,11,مشكلة بسيطة في الغرفة,2,L02-D11-S02,L02-D11-P02,The learner has no hot water.,l-ma ma skhonsh,الما ما سخونش,The water is not hot.,"smehli, daba ntsawbo",Room problem phrases should be direct but not aggressive.,l-ma / ma / skhonsh,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 11: مشكلة بسيطة في الغرفة. Show a foreign learner politely handling this situation: The learner has no hot water.. Visual focus: the phrase 'l-ma ma skhonsh' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'مشكلة بسيطة في الغرفة'. Trigger: The learner has no hot water.. Learner says 'l-ma ma skhonsh'. Moroccan host/staff replies 'smehli, daba ntsawbo'. End with clear action showing the problem/request resolved.",daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,11,مشكلة بسيطة في الغرفة,3,L02-D11-S03,L02-D11-P03,The learner reports a door problem.,l-bab ma kaytsedsh mzyan,الباب ما كيتسدش مزيان,The door does not close well.,n3ayto l-m3ellem,Safety/service issue inside room.,l-bab ma / kaytsedsh mzyan,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 11: مشكلة بسيطة في الغرفة. Show a foreign learner politely handling this situation: The learner reports a door problem.. Visual focus: the phrase 'l-bab ma kaytsedsh mzyan' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مشكلة بسيطة في الغرفة'. Trigger: The learner reports a door problem.. Learner says 'l-bab ma kaytsedsh mzyan'. Moroccan host/staff replies 'n3ayto l-m3ellem'. End with clear action showing the problem/request resolved.,gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,11,مشكلة بسيطة في الغرفة,4,L02-D11-S04,L02-D11-P04,The problem continues and learner asks for a room change.,nqder nbdel l-bit?,نقدر نبدل البيت؟,Can I change the room?,ila kayn bit khor,This is more advanced but still practical in hospitality.,nqder / nbdel / l-bit,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 11: مشكلة بسيطة في الغرفة. Show a foreign learner politely handling this situation: The problem continues and learner asks for a room change.. Visual focus: the phrase 'nqder nbdel l-bit?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'مشكلة بسيطة في الغرفة'. Trigger: The problem continues and learner asks for a room change.. Learner says 'nqder nbdel l-bit?'. Moroccan host/staff replies 'ila kayn bit khor'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
