level,levelNameEnglish,levelNameArabic,day,dayTheme,situation1,situation2,situation3,situation4,situation5,dayPromise,dayMediaLogic
4,Souk & Shopping Better,السوق والشراء بذكاء,7,مراجعة أسبوع 1: أساس التفاوض,فتح الموقف — مراجعة أسبوع 1: أساس التفاوض,طلب أساسي — مراجعة أسبوع 1: أساس التفاوض,توضيح أو سؤال — مراجعة أسبوع 1: أساس التفاوض,رد على جواب مغربي — مراجعة أسبوع 1: أساس التفاوض,إغلاق الموقف — مراجعة أسبوع 1: أساس التفاوض,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 1: أساس التفاوض عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,8,الألوان والاختيار,فتح الموقف — الألوان والاختيار,طلب أساسي — الألوان والاختيار,توضيح أو سؤال — الألوان والاختيار,رد على جواب مغربي — الألوان والاختيار,إغلاق الموقف — الألوان والاختيار,في نهاية اليوم يستطيع المتعلم التعامل مع الألوان والاختيار عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,9,المقاسات والأحجام,فتح الموقف — المقاسات والأحجام,طلب أساسي — المقاسات والأحجام,توضيح أو سؤال — المقاسات والأحجام,رد على جواب مغربي — المقاسات والأحجام,إغلاق الموقف — المقاسات والأحجام,في نهاية اليوم يستطيع المتعلم التعامل مع المقاسات والأحجام عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,10,الجودة والأصل والمواد,فتح الموقف — الجودة والأصل والمواد,طلب أساسي — الجودة والأصل والمواد,توضيح أو سؤال — الجودة والأصل والمواد,رد على جواب مغربي — الجودة والأصل والمواد,إغلاق الموقف — الجودة والأصل والمواد,في نهاية اليوم يستطيع المتعلم التعامل مع الجودة والأصل والمواد عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,11,شراء هدية,فتح الموقف — شراء هدية,طلب أساسي — شراء هدية,توضيح أو سؤال — شراء هدية,رد على جواب مغربي — شراء هدية,إغلاق الموقف — شراء هدية,في نهاية اليوم يستطيع المتعلم التعامل مع شراء هدية عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,12,شراء ملابس بسيطة,فتح الموقف — شراء ملابس بسيطة,طلب أساسي — شراء ملابس بسيطة,توضيح أو سؤال — شراء ملابس بسيطة,رد على جواب مغربي — شراء ملابس بسيطة,إغلاق الموقف — شراء ملابس بسيطة,في نهاية اليوم يستطيع المتعلم التعامل مع شراء ملابس بسيطة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,13,شراء زربية أو منتج تقليدي,فتح الموقف — شراء زربية أو منتج تقليدي,طلب أساسي — شراء زربية أو منتج تقليدي,توضيح أو سؤال — شراء زربية أو منتج تقليدي,رد على جواب مغربي — شراء زربية أو منتج تقليدي,إغلاق الموقف — شراء زربية أو منتج تقليدي,في نهاية اليوم يستطيع المتعلم التعامل مع شراء زربية أو منتج تقليدي عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,14,شراء خضر وفواكه,فتح الموقف — شراء خضر وفواكه,طلب أساسي — شراء خضر وفواكه,توضيح أو سؤال — شراء خضر وفواكه,رد على جواب مغربي — شراء خضر وفواكه,إغلاق الموقف — شراء خضر وفواكه,في نهاية اليوم يستطيع المتعلم التعامل مع شراء خضر وفواكه عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,15,شراء توابل أو أركان,فتح الموقف — شراء توابل أو أركان,طلب أساسي — شراء توابل أو أركان,توضيح أو سؤال — شراء توابل أو أركان,رد على جواب مغربي — شراء توابل أو أركان,إغلاق الموقف — شراء توابل أو أركان,في نهاية اليوم يستطيع المتعلم التعامل مع شراء توابل أو أركان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,16,السؤال عن سلعة أخرى,فتح الموقف — السؤال عن سلعة أخرى,طلب أساسي — السؤال عن سلعة أخرى,توضيح أو سؤال — السؤال عن سلعة أخرى,رد على جواب مغربي — السؤال عن سلعة أخرى,إغلاق الموقف — السؤال عن سلعة أخرى,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن سلعة أخرى عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,17,المقارنة بين سلعتين,فتح الموقف — المقارنة بين سلعتين,طلب أساسي — المقارنة بين سلعتين,توضيح أو سؤال — المقارنة بين سلعتين,رد على جواب مغربي — المقارنة بين سلعتين,إغلاق الموقف — المقارنة بين سلعتين,في نهاية اليوم يستطيع المتعلم التعامل مع المقارنة بين سلعتين عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,18,الدفع نقدًا أو بالبطاقة,فتح الموقف — الدفع نقدًا أو بالبطاقة,طلب أساسي — الدفع نقدًا أو بالبطاقة,توضيح أو سؤال — الدفع نقدًا أو بالبطاقة,رد على جواب مغربي — الدفع نقدًا أو بالبطاقة,إغلاق الموقف — الدفع نقدًا أو بالبطاقة,في نهاية اليوم يستطيع المتعلم التعامل مع الدفع نقدًا أو بالبطاقة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,19,طلب كيس أو تغليف,فتح الموقف — طلب كيس أو تغليف,طلب أساسي — طلب كيس أو تغليف,توضيح أو سؤال — طلب كيس أو تغليف,رد على جواب مغربي — طلب كيس أو تغليف,إغلاق الموقف — طلب كيس أو تغليف,في نهاية اليوم يستطيع المتعلم التعامل مع طلب كيس أو تغليف عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,20,طلب إيصال أو تأكيد,فتح الموقف — طلب إيصال أو تأكيد,طلب أساسي — طلب إيصال أو تأكيد,توضيح أو سؤال — طلب إيصال أو تأكيد,رد على جواب مغربي — طلب إيصال أو تأكيد,إغلاق الموقف — طلب إيصال أو تأكيد,في نهاية اليوم يستطيع المتعلم التعامل مع طلب إيصال أو تأكيد عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,21,مراجعة أسبوع 3: سوق متعدد,فتح الموقف — مراجعة أسبوع 3: سوق متعدد,طلب أساسي — مراجعة أسبوع 3: سوق متعدد,توضيح أو سؤال — مراجعة أسبوع 3: سوق متعدد,رد على جواب مغربي — مراجعة أسبوع 3: سوق متعدد,إغلاق الموقف — مراجعة أسبوع 3: سوق متعدد,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 3: سوق متعدد عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,22,رفض عرض البائع بأدب,فتح الموقف — رفض عرض البائع بأدب,طلب أساسي — رفض عرض البائع بأدب,توضيح أو سؤال — رفض عرض البائع بأدب,رد على جواب مغربي — رفض عرض البائع بأدب,إغلاق الموقف — رفض عرض البائع بأدب,في نهاية اليوم يستطيع المتعلم التعامل مع رفض عرض البائع بأدب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,23,المساومة مع ابتسامة,فتح الموقف — المساومة مع ابتسامة,طلب أساسي — المساومة مع ابتسامة,توضيح أو سؤال — المساومة مع ابتسامة,رد على جواب مغربي — المساومة مع ابتسامة,إغلاق الموقف — المساومة مع ابتسامة,في نهاية اليوم يستطيع المتعلم التعامل مع المساومة مع ابتسامة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,24,الشراء من بائعين مختلفين,فتح الموقف — الشراء من بائعين مختلفين,طلب أساسي — الشراء من بائعين مختلفين,توضيح أو سؤال — الشراء من بائعين مختلفين,رد على جواب مغربي — الشراء من بائعين مختلفين,إغلاق الموقف — الشراء من بائعين مختلفين,في نهاية اليوم يستطيع المتعلم التعامل مع الشراء من بائعين مختلفين عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,25,موقف ضغط أو إلحاح,فتح الموقف — موقف ضغط أو إلحاح,طلب أساسي — موقف ضغط أو إلحاح,توضيح أو سؤال — موقف ضغط أو إلحاح,رد على جواب مغربي — موقف ضغط أو إلحاح,إغلاق الموقف — موقف ضغط أو إلحاح,في نهاية اليوم يستطيع المتعلم التعامل مع موقف ضغط أو إلحاح عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,26,طلب نصيحة من بائع,فتح الموقف — طلب نصيحة من بائع,طلب أساسي — طلب نصيحة من بائع,توضيح أو سؤال — طلب نصيحة من بائع,رد على جواب مغربي — طلب نصيحة من بائع,إغلاق الموقف — طلب نصيحة من بائع,في نهاية اليوم يستطيع المتعلم التعامل مع طلب نصيحة من بائع عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,27,مشكلة في الثمن بعد الاتفاق,فتح الموقف — مشكلة في الثمن بعد الاتفاق,طلب أساسي — مشكلة في الثمن بعد الاتفاق,توضيح أو سؤال — مشكلة في الثمن بعد الاتفاق,رد على جواب مغربي — مشكلة في الثمن بعد الاتفاق,إغلاق الموقف — مشكلة في الثمن بعد الاتفاق,في نهاية اليوم يستطيع المتعلم التعامل مع مشكلة في الثمن بعد الاتفاق عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,28,شراء نهائي بثقة,فتح الموقف — شراء نهائي بثقة,طلب أساسي — شراء نهائي بثقة,توضيح أو سؤال — شراء نهائي بثقة,رد على جواب مغربي — شراء نهائي بثقة,إغلاق الموقف — شراء نهائي بثقة,في نهاية اليوم يستطيع المتعلم التعامل مع شراء نهائي بثقة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,29,مراجعة سوق كبيرة,فتح الموقف — مراجعة سوق كبيرة,طلب أساسي — مراجعة سوق كبيرة,توضيح أو سؤال — مراجعة سوق كبيرة,رد على جواب مغربي — مراجعة سوق كبيرة,إغلاق الموقف — مراجعة سوق كبيرة,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة سوق كبيرة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
4,Souk & Shopping Better,السوق والشراء بذكاء,30,اختبار Level 4: جولة سوق كاملة,فتح الموقف — اختبار Level 4: جولة سوق كاملة,طلب أساسي — اختبار Level 4: جولة سوق كاملة,توضيح أو سؤال — اختبار Level 4: جولة سوق كاملة,رد على جواب مغربي — اختبار Level 4: جولة سوق كاملة,إغلاق الموقف — اختبار Level 4: جولة سوق كاملة,في نهاية اليوم يستطيع المتعلم التعامل مع اختبار Level 4: جولة سوق كاملة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,1,اختيار وسيلة النقل المناسبة,فتح الموقف — اختيار وسيلة النقل المناسبة,طلب أساسي — اختيار وسيلة النقل المناسبة,توضيح أو سؤال — اختيار وسيلة النقل المناسبة,رد على جواب مغربي — اختيار وسيلة النقل المناسبة,إغلاق الموقف — اختيار وسيلة النقل المناسبة,في نهاية اليوم يستطيع المتعلم التعامل مع اختيار وسيلة النقل المناسبة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,2,تاكسي صغير داخل المدينة,فتح الموقف — تاكسي صغير داخل المدينة,طلب أساسي — تاكسي صغير داخل المدينة,توضيح أو سؤال — تاكسي صغير داخل المدينة,رد على جواب مغربي — تاكسي صغير داخل المدينة,إغلاق الموقف — تاكسي صغير داخل المدينة,في نهاية اليوم يستطيع المتعلم التعامل مع تاكسي صغير داخل المدينة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,3,تاكسي كبير بين المناطق,فتح الموقف — تاكسي كبير بين المناطق,طلب أساسي — تاكسي كبير بين المناطق,توضيح أو سؤال — تاكسي كبير بين المناطق,رد على جواب مغربي — تاكسي كبير بين المناطق,إغلاق الموقف — تاكسي كبير بين المناطق,في نهاية اليوم يستطيع المتعلم التعامل مع تاكسي كبير بين المناطق عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,4,الترام أو الحافلة,فتح الموقف — الترام أو الحافلة,طلب أساسي — الترام أو الحافلة,توضيح أو سؤال — الترام أو الحافلة,رد على جواب مغربي — الترام أو الحافلة,إغلاق الموقف — الترام أو الحافلة,في نهاية اليوم يستطيع المتعلم التعامل مع الترام أو الحافلة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,5,محطة القطار,فتح الموقف — محطة القطار,طلب أساسي — محطة القطار,توضيح أو سؤال — محطة القطار,رد على جواب مغربي — محطة القطار,إغلاق الموقف — محطة القطار,في نهاية اليوم يستطيع المتعلم التعامل مع محطة القطار عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,6,شراء تذكرة,فتح الموقف — شراء تذكرة,طلب أساسي — شراء تذكرة,توضيح أو سؤال — شراء تذكرة,رد على جواب مغربي — شراء تذكرة,إغلاق الموقف — شراء تذكرة,في نهاية اليوم يستطيع المتعلم التعامل مع شراء تذكرة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,7,مراجعة أسبوع 1: داخل المدينة,فتح الموقف — مراجعة أسبوع 1: داخل المدينة,طلب أساسي — مراجعة أسبوع 1: داخل المدينة,توضيح أو سؤال — مراجعة أسبوع 1: داخل المدينة,رد على جواب مغربي — مراجعة أسبوع 1: داخل المدينة,إغلاق الموقف — مراجعة أسبوع 1: داخل المدينة,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 1: داخل المدينة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,8,السؤال عن المنصة أو الباب,فتح الموقف — السؤال عن المنصة أو الباب,طلب أساسي — السؤال عن المنصة أو الباب,توضيح أو سؤال — السؤال عن المنصة أو الباب,رد على جواب مغربي — السؤال عن المنصة أو الباب,إغلاق الموقف — السؤال عن المنصة أو الباب,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن المنصة أو الباب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,9,وقت الانطلاق والوصول,فتح الموقف — وقت الانطلاق والوصول,طلب أساسي — وقت الانطلاق والوصول,توضيح أو سؤال — وقت الانطلاق والوصول,رد على جواب مغربي — وقت الانطلاق والوصول,إغلاق الموقف — وقت الانطلاق والوصول,في نهاية اليوم يستطيع المتعلم التعامل مع وقت الانطلاق والوصول عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,10,التأخير والانتظار,فتح الموقف — التأخير والانتظار,طلب أساسي — التأخير والانتظار,توضيح أو سؤال — التأخير والانتظار,رد على جواب مغربي — التأخير والانتظار,إغلاق الموقف — التأخير والانتظار,في نهاية اليوم يستطيع المتعلم التعامل مع التأخير والانتظار عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,11,تغيير القطار أو الحافلة,فتح الموقف — تغيير القطار أو الحافلة,طلب أساسي — تغيير القطار أو الحافلة,توضيح أو سؤال — تغيير القطار أو الحافلة,رد على جواب مغربي — تغيير القطار أو الحافلة,إغلاق الموقف — تغيير القطار أو الحافلة,في نهاية اليوم يستطيع المتعلم التعامل مع تغيير القطار أو الحافلة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,12,الأمتعة في المحطة,فتح الموقف — الأمتعة في المحطة,طلب أساسي — الأمتعة في المحطة,توضيح أو سؤال — الأمتعة في المحطة,رد على جواب مغربي — الأمتعة في المحطة,إغلاق الموقف — الأمتعة في المحطة,في نهاية اليوم يستطيع المتعلم التعامل مع الأمتعة في المحطة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,13,السؤال عن المقعد,فتح الموقف — السؤال عن المقعد,طلب أساسي — السؤال عن المقعد,توضيح أو سؤال — السؤال عن المقعد,رد على جواب مغربي — السؤال عن المقعد,إغلاق الموقف — السؤال عن المقعد,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن المقعد عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,14,مشكلة في التذكرة,فتح الموقف — مشكلة في التذكرة,طلب أساسي — مشكلة في التذكرة,توضيح أو سؤال — مشكلة في التذكرة,رد على جواب مغربي — مشكلة في التذكرة,إغلاق الموقف — مشكلة في التذكرة,في نهاية اليوم يستطيع المتعلم التعامل مع مشكلة في التذكرة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,15,طلب مساعدة من موظف,فتح الموقف — طلب مساعدة من موظف,طلب أساسي — طلب مساعدة من موظف,توضيح أو سؤال — طلب مساعدة من موظف,رد على جواب مغربي — طلب مساعدة من موظف,إغلاق الموقف — طلب مساعدة من موظف,في نهاية اليوم يستطيع المتعلم التعامل مع طلب مساعدة من موظف عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,16,رحلة من مراكش إلى فاس,فتح الموقف — رحلة من مراكش إلى فاس,طلب أساسي — رحلة من مراكش إلى فاس,توضيح أو سؤال — رحلة من مراكش إلى فاس,رد على جواب مغربي — رحلة من مراكش إلى فاس,إغلاق الموقف — رحلة من مراكش إلى فاس,في نهاية اليوم يستطيع المتعلم التعامل مع رحلة من مراكش إلى فاس عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,17,رحلة إلى الشمال,فتح الموقف — رحلة إلى الشمال,طلب أساسي — رحلة إلى الشمال,توضيح أو سؤال — رحلة إلى الشمال,رد على جواب مغربي — رحلة إلى الشمال,إغلاق الموقف — رحلة إلى الشمال,في نهاية اليوم يستطيع المتعلم التعامل مع رحلة إلى الشمال عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,18,العودة إلى الفندق بعد رحلة,فتح الموقف — العودة إلى الفندق بعد رحلة,طلب أساسي — العودة إلى الفندق بعد رحلة,توضيح أو سؤال — العودة إلى الفندق بعد رحلة,رد على جواب مغربي — العودة إلى الفندق بعد رحلة,إغلاق الموقف — العودة إلى الفندق بعد رحلة,في نهاية اليوم يستطيع المتعلم التعامل مع العودة إلى الفندق بعد رحلة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,19,تحديد نقطة الالتقاء,فتح الموقف — تحديد نقطة الالتقاء,طلب أساسي — تحديد نقطة الالتقاء,توضيح أو سؤال — تحديد نقطة الالتقاء,رد على جواب مغربي — تحديد نقطة الالتقاء,إغلاق الموقف — تحديد نقطة الالتقاء,في نهاية اليوم يستطيع المتعلم التعامل مع تحديد نقطة الالتقاء عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,20,اتجاهات متقدمة في المدينة,فتح الموقف — اتجاهات متقدمة في المدينة,طلب أساسي — اتجاهات متقدمة في المدينة,توضيح أو سؤال — اتجاهات متقدمة في المدينة,رد على جواب مغربي — اتجاهات متقدمة في المدينة,إغلاق الموقف — اتجاهات متقدمة في المدينة,في نهاية اليوم يستطيع المتعلم التعامل مع اتجاهات متقدمة في المدينة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,21,مراجعة أسبوع 3: رحلة متوسطة,فتح الموقف — مراجعة أسبوع 3: رحلة متوسطة,طلب أساسي — مراجعة أسبوع 3: رحلة متوسطة,توضيح أو سؤال — مراجعة أسبوع 3: رحلة متوسطة,رد على جواب مغربي — مراجعة أسبوع 3: رحلة متوسطة,إغلاق الموقف — مراجعة أسبوع 3: رحلة متوسطة,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 3: رحلة متوسطة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,22,التعامل مع سائق لا يفهم العنوان,فتح الموقف — التعامل مع سائق لا يفهم العنوان,طلب أساسي — التعامل مع سائق لا يفهم العنوان,توضيح أو سؤال — التعامل مع سائق لا يفهم العنوان,رد على جواب مغربي — التعامل مع سائق لا يفهم العنوان,إغلاق الموقف — التعامل مع سائق لا يفهم العنوان,في نهاية اليوم يستطيع المتعلم التعامل مع التعامل مع سائق لا يفهم العنوان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,23,السؤال عن السعر قبل الركوب,فتح الموقف — السؤال عن السعر قبل الركوب,طلب أساسي — السؤال عن السعر قبل الركوب,توضيح أو سؤال — السؤال عن السعر قبل الركوب,رد على جواب مغربي — السؤال عن السعر قبل الركوب,إغلاق الموقف — السؤال عن السعر قبل الركوب,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن السعر قبل الركوب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,24,المشي من المحطة إلى العنوان,فتح الموقف — المشي من المحطة إلى العنوان,طلب أساسي — المشي من المحطة إلى العنوان,توضيح أو سؤال — المشي من المحطة إلى العنوان,رد على جواب مغربي — المشي من المحطة إلى العنوان,إغلاق الموقف — المشي من المحطة إلى العنوان,في نهاية اليوم يستطيع المتعلم التعامل مع المشي من المحطة إلى العنوان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,25,تطبيق خرائط لا يكفي,فتح الموقف — تطبيق خرائط لا يكفي,طلب أساسي — تطبيق خرائط لا يكفي,توضيح أو سؤال — تطبيق خرائط لا يكفي,رد على جواب مغربي — تطبيق خرائط لا يكفي,إغلاق الموقف — تطبيق خرائط لا يكفي,في نهاية اليوم يستطيع المتعلم التعامل مع تطبيق خرائط لا يكفي عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,26,ضياع الطريق في محطة,فتح الموقف — ضياع الطريق في محطة,طلب أساسي — ضياع الطريق في محطة,توضيح أو سؤال — ضياع الطريق في محطة,رد على جواب مغربي — ضياع الطريق في محطة,إغلاق الموقف — ضياع الطريق في محطة,في نهاية اليوم يستطيع المتعلم التعامل مع ضياع الطريق في محطة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,27,طلب نزول في مكان آمن,فتح الموقف — طلب نزول في مكان آمن,طلب أساسي — طلب نزول في مكان آمن,توضيح أو سؤال — طلب نزول في مكان آمن,رد على جواب مغربي — طلب نزول في مكان آمن,إغلاق الموقف — طلب نزول في مكان آمن,في نهاية اليوم يستطيع المتعلم التعامل مع طلب نزول في مكان آمن عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
