level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNo,id,friendlyLatin,arabic,english,scenario,possibleMoroccanReply,cultureNote,pronunciationParts,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,contentStatus
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,8,2,اختصارات التحية والرد,4,L11-D08-P04,"hamdullah, ghir shwiya m3tel",الحمد لله، غير شوية معطل,"Thank God, just a little late.",You explain a delay in a casual chat.,ma kain moshkil.,A small explanation is polite.,hamdullah / ghir / shwiya / m3tel,assets/audio/level11/day08/l11-d08-p04-normal.mp3,assets/audio/level11/day08/l11-d08-p04-slow.mp3,assets/video/level11/day08/l11-d08-p04-scene.mp4,assets/images/video-posters/level11/day08/l11-d08-p04-poster.webp,assets/images/lesson-scenes/level11/day08/l11-d08-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,8,2,اختصارات التحية والرد,5,L11-D08-P05,"bslama, nhdro men b3d",بسلامة، نهضرو من بعد,"Bye, we will talk later.",You close the chat.,bslama.,Short closing avoids leaving the chat hanging.,bslama / nhdro / men / b3d,assets/audio/level11/day08/l11-d08-p05-normal.mp3,assets/audio/level11/day08/l11-d08-p05-slow.mp3,assets/video/level11/day08/l11-d08-p05-scene.mp4,assets/images/video-posters/level11/day08/l11-d08-p05-poster.webp,assets/images/lesson-scenes/level11/day08/l11-d08-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,9,2,كلام ناقص لكن مفهوم,1,L11-D09-P01,fhemt lma3na mashi kolshi,فهمت المعنى ماشي كلشي,"I understood the meaning, not everything.",A native message has missing or fast parts.,hadi hiya lmochkil.,Meaning first is the correct listening goal.,fhemt / lma3na / mashi / kolshi,assets/audio/level11/day09/l11-d09-p01-normal.mp3,assets/audio/level11/day09/l11-d09-p01-slow.mp3,assets/video/level11/day09/l11-d09-p01-scene.mp4,assets/images/video-posters/level11/day09/l11-d09-p01-poster.webp,assets/images/lesson-scenes/level11/day09/l11-d09-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,9,2,كلام ناقص لكن مفهوم,2,L11-D09-P02,hadchi kayban 3la lmaw3id,هادشي كيبان على الموعد,This seems to be about the appointment.,You infer the topic from context.,"iyah, 3la lmaw3id.",Native listening often begins with topic recognition.,hadchi / kayban / 3la / lmaw3id,assets/audio/level11/day09/l11-d09-p02-normal.mp3,assets/audio/level11/day09/l11-d09-p02-slow.mp3,assets/video/level11/day09/l11-d09-p02-scene.mp4,assets/images/video-posters/level11/day09/l11-d09-p02-poster.webp,assets/images/lesson-scenes/level11/day09/l11-d09-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,9,2,كلام ناقص لكن مفهوم,3,L11-D09-P03,lklma li ma fhemtsh hiya...,الكلمة اللي ما فهمتش هي...,The word I did not understand is...,You isolate the unknown word.,hiya kat3ni...,Isolating one word helps the helper answer quickly.,lklma / li / ma / fhemtsh / hiya,assets/audio/level11/day09/l11-d09-p03-normal.mp3,assets/audio/level11/day09/l11-d09-p03-slow.mp3,assets/video/level11/day09/l11-d09-p03-scene.mp4,assets/images/video-posters/level11/day09/l11-d09-p03-poster.webp,assets/images/lesson-scenes/level11/day09/l11-d09-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,9,2,كلام ناقص لكن مفهوم,4,L11-D09-P04,wach lma3na howa nji daba?,واش المعنى هو نجي دابا؟,Does it mean I should come now?,You check your interpretation.,"iyah, daba.",Confirm before acting on incomplete messages.,wach / lma3na / howa / nji / daba,assets/audio/level11/day09/l11-d09-p04-normal.mp3,assets/audio/level11/day09/l11-d09-p04-slow.mp3,assets/video/level11/day09/l11-d09-p04-scene.mp4,assets/images/video-posters/level11/day09/l11-d09-p04-poster.webp,assets/images/lesson-scenes/level11/day09/l11-d09-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,9,2,كلام ناقص لكن مفهوم,5,L11-D09-P05,"safi, fhemt mn context",صافي، فهمت من الكونتكست,"Okay, I understood from the context.",You understand enough from context.,mzyan.,Context is a core skill in real Darija.,safi / fhemt / mn / context,assets/audio/level11/day09/l11-d09-p05-normal.mp3,assets/audio/level11/day09/l11-d09-p05-slow.mp3,assets/video/level11/day09/l11-d09-p05-scene.mp4,assets/images/video-posters/level11/day09/l11-d09-p05-poster.webp,assets/images/lesson-scenes/level11/day09/l11-d09-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,10,2,فهم نبرة المزاح,1,L11-D10-P01,wash katd7k m3aya?,واش كتضحك معايا؟,Are you joking with me?,A friend sends a teasing message.,iyah ghir kan d7k.,Moroccan joking can be warm but fast.,wash / katd7k / m3aya,assets/audio/level11/day10/l11-d10-p01-normal.mp3,assets/audio/level11/day10/l11-d10-p01-slow.mp3,assets/video/level11/day10/l11-d10-p01-scene.mp4,assets/images/video-posters/level11/day10/l11-d10-p01-poster.webp,assets/images/lesson-scenes/level11/day10/l11-d10-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,10,2,فهم نبرة المزاح,2,L11-D10-P02,ma fhemtsh wach joke wla bssa7,ما فهمتش واش جوك ولا بصح,I did not understand if it is a joke or serious.,You are unsure about tone.,ghir joke.,Ask directly but lightly.,ma / fhemtsh / wach / joke / wla / bssa7,assets/audio/level11/day10/l11-d10-p02-normal.mp3,assets/audio/level11/day10/l11-d10-p02-slow.mp3,assets/video/level11/day10/l11-d10-p02-scene.mp4,assets/images/video-posters/level11/day10/l11-d10-p02-poster.webp,assets/images/lesson-scenes/level11/day10/l11-d10-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,10,2,فهم نبرة المزاح,3,L11-D10-P03,hahaha safi fhemtk,هاهاها صافي فهمتك,"Haha okay, I got you.",You recognize the joke.,hadi hiya.,A laugh marker softens the reply.,hahaha / safi / fhemtk,assets/audio/level11/day10/l11-d10-p03-normal.mp3,assets/audio/level11/day10/l11-d10-p03-slow.mp3,assets/video/level11/day10/l11-d10-p03-scene.mp4,assets/images/video-posters/level11/day10/l11-d10-p03-poster.webp,assets/images/lesson-scenes/level11/day10/l11-d10-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,10,2,فهم نبرة المزاح,4,L11-D10-P04,"ma t9ll9sh, ghir kan swel",ما تقلقش، غير كن سول,"Do not be upset, I am just asking.",You repair a tone misunderstanding.,la 3adi.,Tone repair is useful in WhatsApp.,ma / t9ll9sh / ghir / kan / swel,assets/audio/level11/day10/l11-d10-p04-normal.mp3,assets/audio/level11/day10/l11-d10-p04-slow.mp3,assets/video/level11/day10/l11-d10-p04-scene.mp4,assets/images/video-posters/level11/day10/l11-d10-p04-poster.webp,assets/images/lesson-scenes/level11/day10/l11-d10-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,10,2,فهم نبرة المزاح,5,L11-D10-P05,nktebha b wdo7 bach nfhem,نكتبها بوضوح باش نفهم,Write it clearly so I understand.,You ask for a clearer version after a joke.,wakha.,Clarity is better than guessing tone.,nktebha / b / wdo7 / bach / nfhem,assets/audio/level11/day10/l11-d10-p05-normal.mp3,assets/audio/level11/day10/l11-d10-p05-slow.mp3,assets/video/level11/day10/l11-d10-p05-scene.mp4,assets/images/video-posters/level11/day10/l11-d10-p05-poster.webp,assets/images/lesson-scenes/level11/day10/l11-d10-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,11,2,تعليقات فيديو قصيرة,1,L11-D11-P01,chno kaygol f video?,شنو كيقول فالفيديو؟,What is he saying in the video?,You watch a short Moroccan video.,kaygol...,Start by asking for the main sentence.,chno / kaygol / f / video,assets/audio/level11/day11/l11-d11-p01-normal.mp3,assets/audio/level11/day11/l11-d11-p01-slow.mp3,assets/video/level11/day11/l11-d11-p01-scene.mp4,assets/images/video-posters/level11/day11/l11-d11-p01-poster.webp,assets/images/lesson-scenes/level11/day11/l11-d11-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,11,2,تعليقات فيديو قصيرة,2,L11-D11-P02,fhemt ghir lcomment lwel,فهمت غير الكومونت اللول,I understood only the first comment.,You read comments under a video.,"3adi, comments s3ab.",Comments can be slangy and compressed.,fhemt / ghir / lcomment / lwel,assets/audio/level11/day11/l11-d11-p02-normal.mp3,assets/audio/level11/day11/l11-d11-p02-slow.mp3,assets/video/level11/day11/l11-d11-p02-scene.mp4,assets/images/video-posters/level11/day11/l11-d11-p02-poster.webp,assets/images/lesson-scenes/level11/day11/l11-d11-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,11,2,تعليقات فيديو قصيرة,3,L11-D11-P03,had lcomment kayd7k,هاد الكومونت كيضحك,This comment is funny.,You understand a humorous comment.,"iyah, kayd7k bzaf.",Media Darija uses humor and exaggeration.,had / lcomment / kayd7k,assets/audio/level11/day11/l11-d11-p03-normal.mp3,assets/audio/level11/day11/l11-d11-p03-slow.mp3,assets/video/level11/day11/l11-d11-p03-scene.mp4,assets/images/video-posters/level11/day11/l11-d11-p03-poster.webp,assets/images/lesson-scenes/level11/day11/l11-d11-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,11,2,تعليقات فيديو قصيرة,4,L11-D11-P04,wach hadchi positive wla negative?,واش هادشي positive ولا negative؟,Is this positive or negative?,You cannot detect comment tone.,positive.,Borrowed English/French words appear in chat.,wach / hadchi / positive / wla / negative,assets/audio/level11/day11/l11-d11-p04-normal.mp3,assets/audio/level11/day11/l11-d11-p04-slow.mp3,assets/video/level11/day11/l11-d11-p04-scene.mp4,assets/images/video-posters/level11/day11/l11-d11-p04-poster.webp,assets/images/lesson-scenes/level11/day11/l11-d11-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,11,2,تعليقات فيديو قصيرة,5,L11-D11-P05,sift lia video akhor sahl,صيفط ليا فيديو آخر ساهل,Send me another easy video.,You want more practice.,"wakha, nsift lik.",Short clips are good listening drills.,sift / lia / video / akhor / sahl,assets/audio/level11/day11/l11-d11-p05-normal.mp3,assets/audio/level11/day11/l11-d11-p05-slow.mp3,assets/video/level11/day11/l11-d11-p05-scene.mp4,assets/images/video-posters/level11/day11/l11-d11-p05-poster.webp,assets/images/lesson-scenes/level11/day11/l11-d11-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,12,2,مقطع مطعم أو سوق,1,L11-D12-P01,"f video, sh7al gal?",فالفيديو، شحال قال؟,"In the video, how much did he say?",You watch a market or restaurant clip.,gal 30 dirham.,Numbers inside fast speech are high-value listening targets.,f / video / sh7al / gal,assets/audio/level11/day12/l11-d12-p01-normal.mp3,assets/audio/level11/day12/l11-d12-p01-slow.mp3,assets/video/level11/day12/l11-d12-p01-scene.mp4,assets/images/video-posters/level11/day12/l11-d12-p01-poster.webp,assets/images/lesson-scenes/level11/day12/l11-d12-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,12,2,مقطع مطعم أو سوق,2,L11-D12-P02,sm3t kelmt ghali,سمعت كلمة غالي,I heard the word expensive.,You catch one key market word.,"iyah, ghali bzaf.",One word can reveal the situation.,sm3t / kelmt / ghali,assets/audio/level11/day12/l11-d12-p02-normal.mp3,assets/audio/level11/day12/l11-d12-p02-slow.mp3,assets/video/level11/day12/l11-d12-p02-scene.mp4,assets/images/video-posters/level11/day12/l11-d12-p02-poster.webp,assets/images/lesson-scenes/level11/day12/l11-d12-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,12,2,مقطع مطعم أو سوق,3,L11-D12-P03,wach talab lmenu wla l7ssab?,واش طلب المينو ولا الحساب؟,Did he ask for the menu or the bill?,You distinguish restaurant actions.,talab l7ssab.,Restaurant clips often reuse familiar Level 3 phrases.,wach / talab / lmenu / wla / l7ssab,assets/audio/level11/day12/l11-d12-p03-normal.mp3,assets/audio/level11/day12/l11-d12-p03-slow.mp3,assets/video/level11/day12/l11-d12-p03-scene.mp4,assets/images/video-posters/level11/day12/l11-d12-p03-poster.webp,assets/images/lesson-scenes/level11/day12/l11-d12-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,12,2,مقطع مطعم أو سوق,4,L11-D12-P04,3awed lia dik jumla dyal souk,عاود ليا ديك الجملة ديال السوق,Repeat that market sentence for me.,You need a specific souk line repeated.,bsh7al hada?,Repeating real lines supports reuse.,3awed / lia / dik / jumla / dyal / souk,assets/audio/level11/day12/l11-d12-p04-normal.mp3,assets/audio/level11/day12/l11-d12-p04-slow.mp3,assets/video/level11/day12/l11-d12-p04-scene.mp4,assets/images/video-posters/level11/day12/l11-d12-p04-poster.webp,assets/images/lesson-scenes/level11/day12/l11-d12-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,12,2,مقطع مطعم أو سوق,5,L11-D12-P05,daba 3reft lmaw9if,دابا عرفت الموقف,Now I understood the situation.,"After key words, you identify the scene.",mzyan.,Scene recognition is more important than perfect translation.,daba / 3reft / lmaw9if,assets/audio/level11/day12/l11-d12-p05-normal.mp3,assets/audio/level11/day12/l11-d12-p05-slow.mp3,assets/video/level11/day12/l11-d12-p05-scene.mp4,assets/images/video-posters/level11/day12/l11-d12-p05-poster.webp,assets/images/lesson-scenes/level11/day12/l11-d12-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,13,2,مقطع طاكسي أو شارع,1,L11-D13-P01,sm3t fin bghiti,سمعت فين بغيتي,I heard “where do you want?”.,You recognize a taxi question in a video.,"iyah, hada howa.",Taxi phrases repeat often in street media.,sm3t / fin / bghiti,assets/audio/level11/day13/l11-d13-p01-normal.mp3,assets/audio/level11/day13/l11-d13-p01-slow.mp3,assets/video/level11/day13/l11-d13-p01-scene.mp4,assets/images/video-posters/level11/day13/l11-d13-p01-poster.webp,assets/images/lesson-scenes/level11/day13/l11-d13-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,13,2,مقطع طاكسي أو شارع,2,L11-D13-P02,wach gal limen wla lisar?,واش قال ليمن ولا ليسر؟,Did he say right or left?,You need to catch direction words.,gal limen.,Direction words are critical in real movement.,wach / gal / limen / wla / lisar,assets/audio/level11/day13/l11-d13-p02-normal.mp3,assets/audio/level11/day13/l11-d13-p02-slow.mp3,assets/video/level11/day13/l11-d13-p02-scene.mp4,assets/images/video-posters/level11/day13/l11-d13-p02-poster.webp,assets/images/lesson-scenes/level11/day13/l11-d13-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,13,2,مقطع طاكسي أو شارع,3,L11-D13-P03,lkhatt ta9ta3 f voice,الخط تقطع فالڤويس,The line cut in the voice.,A phone/voice message cuts during a street update.,n3awd nsend.,Connection issues are normal in live communication.,lkhatt / ta9ta3 / f / voice,assets/audio/level11/day13/l11-d13-p03-normal.mp3,assets/audio/level11/day13/l11-d13-p03-slow.mp3,assets/video/level11/day13/l11-d13-p03-scene.mp4,assets/images/video-posters/level11/day13/l11-d13-p03-poster.webp,assets/images/lesson-scenes/level11/day13/l11-d13-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,13,2,مقطع طاكسي أو شارع,4,L11-D13-P04,kayban f zan9a mshghola,كيبان فالزنقة مشغولة,It looks like the street is busy.,You describe what you understood from the clip.,"iyah, z7am.",Visual context helps listening.,kayban / f / zan9a / mshghola,assets/audio/level11/day13/l11-d13-p04-normal.mp3,assets/audio/level11/day13/l11-d13-p04-slow.mp3,assets/video/level11/day13/l11-d13-p04-scene.mp4,assets/images/video-posters/level11/day13/l11-d13-p04-poster.webp,assets/images/lesson-scenes/level11/day13/l11-d13-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,13,2,مقطع طاكسي أو شارع,5,L11-D13-P05,fhemt fin khasni nmshi,فهمت فين خاصني نمشي,I understood where I need to go.,You extract the useful action from the clip.,"safi, sir nishan.","The goal is to act correctly, not translate every word.",fhemt / fin / khasni / nmshi,assets/audio/level11/day13/l11-d13-p05-normal.mp3,assets/audio/level11/day13/l11-d13-p05-slow.mp3,assets/video/level11/day13/l11-d13-p05-scene.mp4,assets/images/video-posters/level11/day13/l11-d13-p05-poster.webp,assets/images/lesson-scenes/level11/day13/l11-d13-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,14,2,فهم كلمة وسط جملة سريعة,1,L11-D14-P01,sm3t kelma wa7da: daba,سمعت كلمة وحدة: دابا,I heard one word: now.,You catch only one word inside a fast sentence.,"mzyan, hadi mohimma.",A single timing word can matter.,sm3t / kelma / wa7da / daba,assets/audio/level11/day14/l11-d14-p01-normal.mp3,assets/audio/level11/day14/l11-d14-p01-slow.mp3,assets/video/level11/day14/l11-d14-p01-scene.mp4,assets/images/video-posters/level11/day14/l11-d14-p01-poster.webp,assets/images/lesson-scenes/level11/day14/l11-d14-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,14,2,فهم كلمة وسط جملة سريعة,2,L11-D14-P02,lkelma lwsta ma banchatsh lia,الكلمة الوسطى ما بانتش ليا,The middle word was not clear to me.,You isolate the unclear part.,n9olha b shwiya.,Native speech blends words together.,lkelma / lwsta / ma / banchatsh / lia,assets/audio/level11/day14/l11-d14-p02-normal.mp3,assets/audio/level11/day14/l11-d14-p02-slow.mp3,assets/video/level11/day14/l11-d14-p02-scene.mp4,assets/images/video-posters/level11/day14/l11-d14-p02-poster.webp,assets/images/lesson-scenes/level11/day14/l11-d14-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,14,2,فهم كلمة وسط جملة سريعة,3,L11-D14-P03,wach glti mashi wla majitsh?,واش قلتي ماشي ولا ما جيتش؟,Did you say “not” or “I did not come”?,You confuse two similar negative forms.,glit ma jitsh.,Negation is important in fast listening.,wach / glti / mashi / wla / majitsh,assets/audio/level11/day14/l11-d14-p03-normal.mp3,assets/audio/level11/day14/l11-d14-p03-slow.mp3,assets/video/level11/day14/l11-d14-p03-scene.mp4,assets/images/video-posters/level11/day14/l11-d14-p03-poster.webp,assets/images/lesson-scenes/level11/day14/l11-d14-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,14,2,فهم كلمة وسط جملة سريعة,4,L11-D14-P04,n9der nkteb li sm3t?,نقدر نكتب اللي سمعت؟,Can I write what I heard?,You transcribe a fast sentence for checking.,"iyah, ktb.",Dictation turns listening into visible learning.,n9der / nkteb / li / sm3t,assets/audio/level11/day14/l11-d14-p04-normal.mp3,assets/audio/level11/day14/l11-d14-p04-slow.mp3,assets/video/level11/day14/l11-d14-p04-scene.mp4,assets/images/video-posters/level11/day14/l11-d14-p04-poster.webp,assets/images/lesson-scenes/level11/day14/l11-d14-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,14,2,فهم كلمة وسط جملة سريعة,5,L11-D14-P05,s7e7 lia had lkelma,صحح ليا هاد الكلمة,Correct this word for me.,You ask for one-word correction.,hiya b7al haka...,Focused correction saves time.,s7e7 / lia / had / lkelma,assets/audio/level11/day14/l11-d14-p05-normal.mp3,assets/audio/level11/day14/l11-d14-p05-slow.mp3,assets/video/level11/day14/l11-d14-p05-scene.mp4,assets/images/video-posters/level11/day14/l11-d14-p05-poster.webp,assets/images/lesson-scenes/level11/day14/l11-d14-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,15,3,طلب إعادة الرسالة ببطء,1,L11-D15-P01,3awed lia b shwiya aafak,عاود ليا بشوية عافاك,Repeat it slowly please.,You ask for slower repetition.,"wakha, b shwiya.",This is a core Level 11 survival phrase.,3awed / lia / b / shwiya / aafak,assets/audio/level11/day15/l11-d15-p01-normal.mp3,assets/audio/level11/day15/l11-d15-p01-slow.mp3,assets/video/level11/day15/l11-d15-p01-scene.mp4,assets/images/video-posters/level11/day15/l11-d15-p01-poster.webp,assets/images/lesson-scenes/level11/day15/l11-d15-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,15,3,طلب إعادة الرسالة ببطء,2,L11-D15-P02,sift lia voice akher,صيفط ليا ڤويس آخر,Send me another voice note.,The first note was unclear.,daba nsift.,A new recording may be clearer than the old one.,sift / lia / voice / akher,assets/audio/level11/day15/l11-d15-p02-normal.mp3,assets/audio/level11/day15/l11-d15-p02-slow.mp3,assets/video/level11/day15/l11-d15-p02-scene.mp4,assets/images/video-posters/level11/day15/l11-d15-p02-poster.webp,assets/images/lesson-scenes/level11/day15/l11-d15-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,15,3,طلب إعادة الرسالة ببطء,3,L11-D15-P03,ktbha lia f message,كتبها ليا فميساج,Write it for me in a message.,You prefer text after unclear audio.,"wakha, nktbha.",Switching from audio to text is normal.,ktbha / lia / f / message,assets/audio/level11/day15/l11-d15-p03-normal.mp3,assets/audio/level11/day15/l11-d15-p03-slow.mp3,assets/video/level11/day15/l11-d15-p03-scene.mp4,assets/images/video-posters/level11/day15/l11-d15-p03-poster.webp,assets/images/lesson-scenes/level11/day15/l11-d15-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,15,3,طلب إعادة الرسالة ببطء,4,L11-D15-P04,qsemha lia jmla b jmla,قسمها ليا جملة بجملة,Break it for me sentence by sentence.,The voice note is too long.,"mzyan, nbdaw.",Segmentation improves comprehension.,qsemha / lia / jmla / b / jmla,assets/audio/level11/day15/l11-d15-p04-normal.mp3,assets/audio/level11/day15/l11-d15-p04-slow.mp3,assets/video/level11/day15/l11-d15-p04-scene.mp4,assets/images/video-posters/level11/day15/l11-d15-p04-poster.webp,assets/images/lesson-scenes/level11/day15/l11-d15-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,15,3,طلب إعادة الرسالة ببطء,5,L11-D15-P05,daba nsm3ha marra khra,دابا نسمعها مرة خرى,Now I will listen to it again.,You replay after clarification.,mzyan.,Repetition is part of the method.,daba / nsm3ha / marra / khra,assets/audio/level11/day15/l11-d15-p05-normal.mp3,assets/audio/level11/day15/l11-d15-p05-slow.mp3,assets/video/level11/day15/l11-d15-p05-scene.mp4,assets/images/video-posters/level11/day15/l11-d15-p05-poster.webp,assets/images/lesson-scenes/level11/day15/l11-d15-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,16,3,كتابة رد بسيط في واتساب,1,L11-D16-P01,"wakha, nji m3ak",واخا، نجي معاك,"Okay, I will come with you.",You accept a simple plan by WhatsApp.,"safi, mzyan.",Wakha is a useful acceptance word.,wakha / nji / m3ak,assets/audio/level11/day16/l11-d16-p01-normal.mp3,assets/audio/level11/day16/l11-d16-p01-slow.mp3,assets/video/level11/day16/l11-d16-p01-scene.mp4,assets/images/video-posters/level11/day16/l11-d16-p01-poster.webp,assets/images/lesson-scenes/level11/day16/l11-d16-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
