level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNumber,id,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,mediaProductionStatus
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,9,2,الحمّام والعناية,3,L10-D09-P03,You ask for a gentle scrub.,"Gently, please.",b shwiya aafak,بشوية عافاك,wakha,Useful with scrub/service situations.,assets/audio/level10/day09/l10-d09-p03-normal.mp3,assets/audio/level10/day09/l10-d09-p03-slow.mp3,assets/video/level10/day09/l10-d09-p03-scene.mp4,assets/images/video-posters/level10/day09/l10-d09-p03-poster.webp,assets/images/lesson-scenes/level10/day09/l10-d09-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,9,2,الحمّام والعناية,4,L10-D09-P04,You say the water is too hot.,The water is too hot.,l-ma skhoun bzzaf,الما سخون بزاف,zid l-ma bared,Simple comfort phrase.,assets/audio/level10/day09/l10-d09-p04-normal.mp3,assets/audio/level10/day09/l10-d09-p04-slow.mp3,assets/video/level10/day09/l10-d09-p04-scene.mp4,assets/images/video-posters/level10/day09/l10-d09-p04-poster.webp,assets/images/lesson-scenes/level10/day09/l10-d09-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,9,2,الحمّام والعناية,5,L10-D09-P05,You thank the attendant.,"Thank you, may God give you health.","shukran, lah y3tik ssa7a",شكراً، الله يعطيك الصحة,bssa7tek,Health blessings are common thanks after service.,assets/audio/level10/day09/l10-d09-p05-normal.mp3,assets/audio/level10/day09/l10-d09-p05-slow.mp3,assets/video/level10/day09/l10-d09-p05-scene.mp4,assets/images/video-posters/level10/day09/l10-d09-p05-poster.webp,assets/images/lesson-scenes/level10/day09/l10-d09-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,10,2,العرس والحنة,1,L10-D10-P01,You congratulate the couple.,"Congratulations, may God complete it with good.","mabrouk, lah ykemmel b lkhir",مبروك، الله يكمل بالخير,allah ybarek fik,Wedding congratulations often include blessings.,assets/audio/level10/day10/l10-d10-p01-normal.mp3,assets/audio/level10/day10/l10-d10-p01-slow.mp3,assets/video/level10/day10/l10-d10-p01-scene.mp4,assets/images/video-posters/level10/day10/l10-d10-p01-poster.webp,assets/images/lesson-scenes/level10/day10/l10-d10-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,10,2,العرس والحنة,2,L10-D10-P02,You ask if photos are allowed.,Can I take a photo?,n9dr nswwer?,نقدر نصور؟,iyeh / la,Always ask before photographing people or ceremonies.,assets/audio/level10/day10/l10-d10-p02-normal.mp3,assets/audio/level10/day10/l10-d10-p02-slow.mp3,assets/video/level10/day10/l10-d10-p02-scene.mp4,assets/images/video-posters/level10/day10/l10-d10-p02-poster.webp,assets/images/lesson-scenes/level10/day10/l10-d10-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,10,2,العرس والحنة,3,L10-D10-P03,You say the bride looks beautiful.,"The bride is beautiful, tbarkellah.","l-3rossa zwina, tbarkellah",العروسة زوينة، تبارك الله,lah ybarek fik,Tbarkellah softens compliments and avoids awkwardness.,assets/audio/level10/day10/l10-d10-p03-normal.mp3,assets/audio/level10/day10/l10-d10-p03-slow.mp3,assets/video/level10/day10/l10-d10-p03-scene.mp4,assets/images/video-posters/level10/day10/l10-d10-p03-poster.webp,assets/images/lesson-scenes/level10/day10/l10-d10-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,10,2,العرس والحنة,4,L10-D10-P04,You ask when the music starts.,When does the music start?,imta katbda l-musiqa?,إمتى كتبدا الموسيقى؟,mlli yjiw l-3rossa w l-3ris,Wedding timing can be flexible and late.,assets/audio/level10/day10/l10-d10-p04-normal.mp3,assets/audio/level10/day10/l10-d10-p04-slow.mp3,assets/video/level10/day10/l10-d10-p04-scene.mp4,assets/images/video-posters/level10/day10/l10-d10-p04-poster.webp,assets/images/lesson-scenes/level10/day10/l10-d10-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,10,2,العرس والحنة,5,L10-D10-P05,You say you are happy to be invited.,I am happy you invited me.,frehان belli 3redto 3lia,فرحان بلّي عرضتو عليا,marhba bik,Expressing honor matters at family celebrations.,assets/audio/level10/day10/l10-d10-p05-normal.mp3,assets/audio/level10/day10/l10-d10-p05-slow.mp3,assets/video/level10/day10/l10-d10-p05-scene.mp4,assets/images/video-posters/level10/day10/l10-d10-p05-poster.webp,assets/images/lesson-scenes/level10/day10/l10-d10-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,11,2,الموسيقى والفن الشعبي,1,L10-D11-P01,You ask what type of music this is.,What type of music is this?,ashmn naw3 dyal l-musiqa hadi?,أشنو نوع ديال الموسيقى هادي؟,hadi gnawa / chaabi,Moroccan music has many regional styles.,assets/audio/level10/day11/l10-d11-p01-normal.mp3,assets/audio/level10/day11/l10-d11-p01-slow.mp3,assets/video/level10/day11/l10-d11-p01-scene.mp4,assets/images/video-posters/level10/day11/l10-d11-p01-poster.webp,assets/images/lesson-scenes/level10/day11/l10-d11-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,11,2,الموسيقى والفن الشعبي,2,L10-D11-P02,You say the rhythm is beautiful.,The rhythm is beautiful.,l-rythme zwin,الريتم زوين,"iyeh, hadi taqlidiya",Simple praise opens cultural conversation.,assets/audio/level10/day11/l10-d11-p02-normal.mp3,assets/audio/level10/day11/l10-d11-p02-slow.mp3,assets/video/level10/day11/l10-d11-p02-scene.mp4,assets/images/video-posters/level10/day11/l10-d11-p02-poster.webp,assets/images/lesson-scenes/level10/day11/l10-d11-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,11,2,الموسيقى والفن الشعبي,3,L10-D11-P03,You ask if the song is traditional.,Is this song traditional?,wash had l-ghna taqlidi?,واش هاد الغنا تقليدي؟,"iyeh, mn l-morot",Useful in festivals or family gatherings.,assets/audio/level10/day11/l10-d11-p03-normal.mp3,assets/audio/level10/day11/l10-d11-p03-slow.mp3,assets/video/level10/day11/l10-d11-p03-scene.mp4,assets/images/video-posters/level10/day11/l10-d11-p03-poster.webp,assets/images/lesson-scenes/level10/day11/l10-d11-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,11,2,الموسيقى والفن الشعبي,4,L10-D11-P04,You ask what the words mean.,What do the words mean?,ashno kay3niw l-kalimat?,أشنو كيعنيو الكلمات؟,ghadi nshra7 lik,"Shows respect and curiosity, not exoticizing.",assets/audio/level10/day11/l10-d11-p04-normal.mp3,assets/audio/level10/day11/l10-d11-p04-slow.mp3,assets/video/level10/day11/l10-d11-p04-scene.mp4,assets/images/video-posters/level10/day11/l10-d11-p04-poster.webp,assets/images/lesson-scenes/level10/day11/l10-d11-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,11,2,الموسيقى والفن الشعبي,5,L10-D11-P05,You say you want to learn more.,I want to learn more about this culture.,bghit nt3ellem kter 3la had t-taqafa,بغيت نتعلم كتر على هاد الثقافة,marhba,A respectful learner stance matters.,assets/audio/level10/day11/l10-d11-p05-normal.mp3,assets/audio/level10/day11/l10-d11-p05-slow.mp3,assets/video/level10/day11/l10-d11-p05-scene.mp4,assets/images/video-posters/level10/day11/l10-d11-p05-poster.webp,assets/images/lesson-scenes/level10/day11/l10-d11-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,12,2,الأمازيغية وتنوع المغرب,1,L10-D12-P01,You ask if they speak Amazigh.,Do you speak Amazigh?,wash kat-hder b tamazight?,واش كتهضر بتمازيغت؟,iyeh / shwiya,Ask respectfully; identity and language are personal.,assets/audio/level10/day12/l10-d12-p01-normal.mp3,assets/audio/level10/day12/l10-d12-p01-slow.mp3,assets/video/level10/day12/l10-d12-p01-scene.mp4,assets/images/video-posters/level10/day12/l10-d12-p01-poster.webp,assets/images/lesson-scenes/level10/day12/l10-d12-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,12,2,الأمازيغية وتنوع المغرب,2,L10-D12-P02,You say Morocco has many cultures.,Morocco has many cultures.,l-mghrib fih t-taqafat bzzaf,المغرب فيه الثقافات بزاف,s7i7,Morocco is not one single accent or culture.,assets/audio/level10/day12/l10-d12-p02-normal.mp3,assets/audio/level10/day12/l10-d12-p02-slow.mp3,assets/video/level10/day12/l10-d12-p02-scene.mp4,assets/images/video-posters/level10/day12/l10-d12-p02-poster.webp,assets/images/lesson-scenes/level10/day12/l10-d12-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,12,2,الأمازيغية وتنوع المغرب,3,L10-D12-P03,You ask how to say hello in their language.,How do you say hello in your language?,kifash katqolo salam b l-logha dyalkom?,كيفاش كتقولو سلام باللغة ديالكم؟,kanqolo ...,This invites sharing without assuming.,assets/audio/level10/day12/l10-d12-p03-normal.mp3,assets/audio/level10/day12/l10-d12-p03-slow.mp3,assets/video/level10/day12/l10-d12-p03-scene.mp4,assets/images/video-posters/level10/day12/l10-d12-p03-poster.webp,assets/images/lesson-scenes/level10/day12/l10-d12-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,12,2,الأمازيغية وتنوع المغرب,4,L10-D12-P04,You say I respect all languages.,I respect all languages.,kan7tarem ga3 l-loghat,كنحترم گاع اللغات,hadshi zwin,Respecting language diversity builds trust.,assets/audio/level10/day12/l10-d12-p04-normal.mp3,assets/audio/level10/day12/l10-d12-p04-slow.mp3,assets/video/level10/day12/l10-d12-p04-scene.mp4,assets/images/video-posters/level10/day12/l10-d12-p04-poster.webp,assets/images/lesson-scenes/level10/day12/l10-d12-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,12,2,الأمازيغية وتنوع المغرب,5,L10-D12-P05,You ask if this tradition is from this region.,Is this tradition from this region?,wash had l-3ada mn had l-mintaqa?,واش هاد العادة من هاد المنطقة؟,"iyeh, mn hna",Culture changes by region and family.,assets/audio/level10/day12/l10-d12-p05-normal.mp3,assets/audio/level10/day12/l10-d12-p05-slow.mp3,assets/video/level10/day12/l10-d12-p05-scene.mp4,assets/images/video-posters/level10/day12/l10-d12-p05-poster.webp,assets/images/lesson-scenes/level10/day12/l10-d12-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,13,2,المدينة والحي,1,L10-D13-P01,You ask if this is the old medina.,Is this the old medina?,wash hadi l-mdina l-qdima?,واش هادي المدينة القديمة؟,"iyeh, qdima bzzaf",Medina spaces have history and local rhythm.,assets/audio/level10/day13/l10-d13-p01-normal.mp3,assets/audio/level10/day13/l10-d13-p01-slow.mp3,assets/video/level10/day13/l10-d13-p01-scene.mp4,assets/images/video-posters/level10/day13/l10-d13-p01-poster.webp,assets/images/lesson-scenes/level10/day13/l10-d13-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,13,2,المدينة والحي,2,L10-D13-P02,You ask before entering a small alley.,Can I pass from here?,n9dr ndouz mn hna?,نقدر ندوز من هنا؟,"iyeh, douz",Respect local residential spaces.,assets/audio/level10/day13/l10-d13-p02-normal.mp3,assets/audio/level10/day13/l10-d13-p02-slow.mp3,assets/video/level10/day13/l10-d13-p02-scene.mp4,assets/images/video-posters/level10/day13/l10-d13-p02-poster.webp,assets/images/lesson-scenes/level10/day13/l10-d13-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,13,2,المدينة والحي,3,L10-D13-P03,You say you do not want to disturb anyone.,I do not want to disturb anyone.,ma bghitsh nze3j 7ta wahed,ما بغيتش نزعج حتى واحد,ma kayn moshkil,"Good when filming, visiting, or asking directions.",assets/audio/level10/day13/l10-d13-p03-normal.mp3,assets/audio/level10/day13/l10-d13-p03-slow.mp3,assets/video/level10/day13/l10-d13-p03-scene.mp4,assets/images/video-posters/level10/day13/l10-d13-p03-poster.webp,assets/images/lesson-scenes/level10/day13/l10-d13-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,13,2,المدينة والحي,4,L10-D13-P04,You ask if the place is private.,Is this place private?,wash had lblasa khassa?,واش هاد البلاصة خاصة؟,iyeh / la,Helps avoid privacy mistakes.,assets/audio/level10/day13/l10-d13-p04-normal.mp3,assets/audio/level10/day13/l10-d13-p04-slow.mp3,assets/video/level10/day13/l10-d13-p04-scene.mp4,assets/images/video-posters/level10/day13/l10-d13-p04-poster.webp,assets/images/lesson-scenes/level10/day13/l10-d13-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,13,2,المدينة والحي,5,L10-D13-P05,You thank a neighbor for guidance.,Thank you for showing me the way.,shukran 3la triq,شكراً على الطريق,la shukran 3la wajib,Local guidance deserves warm thanks.,assets/audio/level10/day13/l10-d13-p05-normal.mp3,assets/audio/level10/day13/l10-d13-p05-slow.mp3,assets/video/level10/day13/l10-d13-p05-scene.mp4,assets/images/video-posters/level10/day13/l10-d13-p05-poster.webp,assets/images/lesson-scenes/level10/day13/l10-d13-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,14,2,مراجعة الأسبوع الثاني,1,L10-D14-P01,You give Eid greeting and blessing.,Blessed Eid; may God bring it back with good.,"3id mubarak said, lah y3awdo 3lik b lkhir",عيد مبارك سعيد، الله يعاودو عليك بالخير,amin,Review Eid.,assets/audio/level10/day14/l10-d14-p01-normal.mp3,assets/audio/level10/day14/l10-d14-p01-slow.mp3,assets/video/level10/day14/l10-d14-p01-scene.mp4,assets/images/video-posters/level10/day14/l10-d14-p01-poster.webp,assets/images/lesson-scenes/level10/day14/l10-d14-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,14,2,مراجعة الأسبوع الثاني,2,L10-D14-P02,You ask what to bring to hammam.,What should I bring to hammam?,ashno khasni njib l-hammam?,أشنو خاصني نجيب للحمام؟,jib saboun w kasal,Review hammam.,assets/audio/level10/day14/l10-d14-p02-normal.mp3,assets/audio/level10/day14/l10-d14-p02-slow.mp3,assets/video/level10/day14/l10-d14-p02-scene.mp4,assets/images/video-posters/level10/day14/l10-d14-p02-poster.webp,assets/images/lesson-scenes/level10/day14/l10-d14-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,14,2,مراجعة الأسبوع الثاني,3,L10-D14-P03,You congratulate at a wedding.,"Congratulations, may God complete it with good.","mabrouk, lah ykemmel b lkhir",مبروك، الله يكمل بالخير,allah ybarek fik,Review celebration blessing.,assets/audio/level10/day14/l10-d14-p03-normal.mp3,assets/audio/level10/day14/l10-d14-p03-slow.mp3,assets/video/level10/day14/l10-d14-p03-scene.mp4,assets/images/video-posters/level10/day14/l10-d14-p03-poster.webp,assets/images/lesson-scenes/level10/day14/l10-d14-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,14,2,مراجعة الأسبوع الثاني,4,L10-D14-P04,You ask about music and meaning.,What type of music is this and what do the words mean?,ashmn musiqa hadi w ashno kay3niw l-kalimat?,أشنو موسيقى هادي وأشنو كيعنيو الكلمات؟,ghadi nshra7 lik,Review cultural curiosity.,assets/audio/level10/day14/l10-d14-p04-normal.mp3,assets/audio/level10/day14/l10-d14-p04-slow.mp3,assets/video/level10/day14/l10-d14-p04-scene.mp4,assets/images/video-posters/level10/day14/l10-d14-p04-poster.webp,assets/images/lesson-scenes/level10/day14/l10-d14-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,14,2,مراجعة الأسبوع الثاني,5,L10-D14-P05,You ask respectfully about language and region.,Is this tradition from this region?,wash had l-3ada mn had l-mintaqa?,واش هاد العادة من هاد المنطقة؟,iyeh,Review diversity.,assets/audio/level10/day14/l10-d14-p05-normal.mp3,assets/audio/level10/day14/l10-d14-p05-slow.mp3,assets/video/level10/day14/l10-d14-p05-scene.mp4,assets/images/video-posters/level10/day14/l10-d14-p05-poster.webp,assets/images/lesson-scenes/level10/day14/l10-d14-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,15,3,الكلام غير المباشر,1,L10-D15-P01,You ask if “inshallah” means yes here.,Does inshallah mean yes here?,wash inshallah hna kat3ni iyeh?,واش إن شاء الله هنا كتعني إيه؟,3la 7sab s-siyaq,"Inshallah can express hope, politeness, or uncertainty depending on context.",assets/audio/level10/day15/l10-d15-p01-normal.mp3,assets/audio/level10/day15/l10-d15-p01-slow.mp3,assets/video/level10/day15/l10-d15-p01-scene.mp4,assets/images/video-posters/level10/day15/l10-d15-p01-poster.webp,assets/images/lesson-scenes/level10/day15/l10-d15-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,15,3,الكلام غير المباشر,2,L10-D15-P02,You ask for a clear answer politely.,"Can you give me a clear answer, please?",t9dr t3tini jawb wad7 aafak?,تقدر تعطيني جواب واضح عافاك؟,"iyeh, n9olik",Ask clarity without accusing.,assets/audio/level10/day15/l10-d15-p02-normal.mp3,assets/audio/level10/day15/l10-d15-p02-slow.mp3,assets/video/level10/day15/l10-d15-p02-scene.mp4,assets/images/video-posters/level10/day15/l10-d15-p02-poster.webp,assets/images/lesson-scenes/level10/day15/l10-d15-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,15,3,الكلام غير المباشر,3,L10-D15-P03,You refuse softly.,"Thank you, but not today.","shukran, walakin machi lyoum",شكراً، ولكن ماشي اليوم,wakha,Soft refusals keep relationships warm.,assets/audio/level10/day15/l10-d15-p03-normal.mp3,assets/audio/level10/day15/l10-d15-p03-slow.mp3,assets/video/level10/day15/l10-d15-p03-scene.mp4,assets/images/video-posters/level10/day15/l10-d15-p03-poster.webp,assets/images/lesson-scenes/level10/day15/l10-d15-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,15,3,الكلام غير المباشر,4,L10-D15-P04,You say maybe another time.,"Maybe another time, God willing.",ymkn marra khra inshallah,يمكن مرة خرا إن شاء الله,inshallah,This is a culturally smooth postponement.,assets/audio/level10/day15/l10-d15-p04-normal.mp3,assets/audio/level10/day15/l10-d15-p04-slow.mp3,assets/video/level10/day15/l10-d15-p04-scene.mp4,assets/images/video-posters/level10/day15/l10-d15-p04-poster.webp,assets/images/lesson-scenes/level10/day15/l10-d15-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,15,3,الكلام غير المباشر,5,L10-D15-P05,You ask if it is really possible.,Is it really possible?,wash momkin b ssa7?,واش ممكن بصح؟,iyeh / s3ib shwiya,Useful when the answer sounds uncertain.,assets/audio/level10/day15/l10-d15-p05-normal.mp3,assets/audio/level10/day15/l10-d15-p05-slow.mp3,assets/video/level10/day15/l10-d15-p05-scene.mp4,assets/images/video-posters/level10/day15/l10-d15-p05-poster.webp,assets/images/lesson-scenes/level10/day15/l10-d15-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,16,3,المدح وتبارك الله,1,L10-D16-P01,You compliment a child politely.,"The child is beautiful, tbarkellah.","l-wlid zwin, tbarkellah",الوليد زوين، تبارك الله,lah ybarek fik,Tbarkellah is important with children and nice things.,assets/audio/level10/day16/l10-d16-p01-normal.mp3,assets/audio/level10/day16/l10-d16-p01-slow.mp3,assets/video/level10/day16/l10-d16-p01-scene.mp4,assets/images/video-posters/level10/day16/l10-d16-p01-poster.webp,assets/images/lesson-scenes/level10/day16/l10-d16-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,16,3,المدح وتبارك الله,2,L10-D16-P02,You compliment new clothes.,"Nice clothes, bssa7a.","l-7wayj zwina, bssa7a",الحوايج زوينة، بالصحة,lah y3tik ssa7a,Bssa7a fits new clothes or purchases.,assets/audio/level10/day16/l10-d16-p02-normal.mp3,assets/audio/level10/day16/l10-d16-p02-slow.mp3,assets/video/level10/day16/l10-d16-p02-scene.mp4,assets/images/video-posters/level10/day16/l10-d16-p02-poster.webp,assets/images/lesson-scenes/level10/day16/l10-d16-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,16,3,المدح وتبارك الله,3,L10-D16-P03,You praise work without overdoing it.,Your work is very good.,khdmtk zwina bzzaf,خدمتك زوينة بزاف,shukran,Balanced praise is appreciated.,assets/audio/level10/day16/l10-d16-p03-normal.mp3,assets/audio/level10/day16/l10-d16-p03-slow.mp3,assets/video/level10/day16/l10-d16-p03-scene.mp4,assets/images/video-posters/level10/day16/l10-d16-p03-poster.webp,assets/images/lesson-scenes/level10/day16/l10-d16-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,16,3,المدح وتبارك الله,4,L10-D16-P04,You say may God bless it.,May God bless it.,lah ybarek,الله يبارك,amin,A blessing phrase softens admiration.,assets/audio/level10/day16/l10-d16-p04-normal.mp3,assets/audio/level10/day16/l10-d16-p04-slow.mp3,assets/video/level10/day16/l10-d16-p04-scene.mp4,assets/images/video-posters/level10/day16/l10-d16-p04-poster.webp,assets/images/lesson-scenes/level10/day16/l10-d16-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,16,3,المدح وتبارك الله,5,L10-D16-P05,You ask if your compliment was okay.,Was my compliment okay?,wash l-md7 dyali kan mzyan?,واش المدح ديالي كان مزيان؟,"iyeh, mzyan",Useful for learners checking cultural nuance.,assets/audio/level10/day16/l10-d16-p05-normal.mp3,assets/audio/level10/day16/l10-d16-p05-slow.mp3,assets/video/level10/day16/l10-d16-p05-scene.mp4,assets/images/video-posters/level10/day16/l10-d16-p05-poster.webp,assets/images/lesson-scenes/level10/day16/l10-d16-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,17,3,الخصوصية والصور,1,L10-D17-P01,You ask permission before taking a photo.,"Can I take a photo, please?",n9dr nswwer aafak?,نقدر نصور عافاك؟,iyeh / la,Permission matters especially with people and homes.,assets/audio/level10/day17/l10-d17-p01-normal.mp3,assets/audio/level10/day17/l10-d17-p01-slow.mp3,assets/video/level10/day17/l10-d17-p01-scene.mp4,assets/images/video-posters/level10/day17/l10-d17-p01-poster.webp,assets/images/lesson-scenes/level10/day17/l10-d17-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,17,3,الخصوصية والصور,2,L10-D17-P02,You ask if the photo is okay to share.,Can I share this photo?,n9dr n-partaji had tswira?,نقدر نپارطاجي هاد التصويرة؟,"la, khlliha 3ndk",Sharing online needs separate permission.,assets/audio/level10/day17/l10-d17-p02-normal.mp3,assets/audio/level10/day17/l10-d17-p02-slow.mp3,assets/video/level10/day17/l10-d17-p02-scene.mp4,assets/images/video-posters/level10/day17/l10-d17-p02-poster.webp,assets/images/lesson-scenes/level10/day17/l10-d17-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,17,3,الخصوصية والصور,3,L10-D17-P03,You apologize for asking a personal question.,Sorry if the question is personal.,sme7 lia ila soual shakhsi,سمح ليا إلا سؤال شخصي,ma kayn moshkil,"Some questions about marriage, money, or religion need care.",assets/audio/level10/day17/l10-d17-p03-normal.mp3,assets/audio/level10/day17/l10-d17-p03-slow.mp3,assets/video/level10/day17/l10-d17-p03-scene.mp4,assets/images/video-posters/level10/day17/l10-d17-p03-poster.webp,assets/images/lesson-scenes/level10/day17/l10-d17-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,17,3,الخصوصية والصور,4,L10-D17-P04,You say no need to answer.,You do not have to answer.,ma darorish tjawb,ما ضروريش تجاوب,shukran,This gives the other person dignity.,assets/audio/level10/day17/l10-d17-p04-normal.mp3,assets/audio/level10/day17/l10-d17-p04-slow.mp3,assets/video/level10/day17/l10-d17-p04-scene.mp4,assets/images/video-posters/level10/day17/l10-d17-p04-poster.webp,assets/images/lesson-scenes/level10/day17/l10-d17-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
